age,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,city,countDetails,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
20,6,9664,268,1,1,0,0,1,470,0.310000002,0,0,0,0,186,0,1,1
20,11,2608,115,1,1,0,0,0,522,0.689999998,0,0,0,0,176,0,1,0
24,6,190,6,1,0,0,0,0,421,0.270000011,0,0,0,0,195,0,1,1
26,22,31079,1754,1,1,0,0,0,482,0.579999983,0,0,0,0,491,0,1,1
22,15,40214,3099,1,1,0,0,0,66,0.850000024,0,0,0,0,161,0,1,0
23,3,16531,917,1,1,0,0,1,94,0.419999987,0,0,0,0,58.20000076,0,1,0
25,5,26553,1428,1,0,0,0,0,620,0.540000021,0,0,0,0,158,0,1,0
20,13,16341,754,0,0,0,0,0,94,0.419999987,0,0,0,0,74.80000305,0,1,1
25,4,6092,115,0,1,1,0,0,596,0.920000017,0,0,0,0,133,0,1,0
21,3,646,20,1,0,0,0,0,677,0.349999994,0,0,0,0,74.5,0,1,0
22,4,15787,643,1,1,0,0,0,482,0.769999981,0,0,0,0,0,0,1,0
20,4,130,5,1,1,0,0,0,99,0.579999983,0,0,0,0,92.69999695,0,1,1
23,14,15561,582,0,1,0,0,0,985,0.920000017,0,0,0,0,129,0,1,0
19,3,19909,1045,1,0,0,0,0,163,0.879999995,0,0,0,0,118,0,1,0
25,20,10553,957,1,1,0,0,0,883,1,0,0,0,0,80.19999695,0,1,1
24,9,16851,1068,1,1,1,0,0,242,0.769999981,0,0,0,0,169,0,1,0
23,8,38702,945,1,1,0,0,1,846,0.649999976,0,0,0,0,104,0,1,0
21,23,12443,1301,1,1,1,0,0,72,0.850000024,0,0,0,0,135,0,1,0
19,16,29916,1725,1,1,0,1,1,917,0.810000002,0,0,0,0,172,0,1,0
24,11,17097,1188,1,1,1,0,1,836,0.959999979,0,0,0,0,91.69999695,0,1,0
20,5,3501,106,1,1,0,0,1,344,0.810000002,0,0,0,0,75.59999847,0,1,0
23,9,2642,104,1,1,0,0,0,605,1,0,0,0,0,150,0,1,0
21,4,9386,245,1,1,0,0,0,330,0.769999981,0,0,0,0,188,0,1,0
21,16,5954,61,0,0,0,0,0,418,0.769999981,0,0,0,0,196,0,1,0
23,0,4362,217,1,1,1,0,0,517,1,0,0,0,0,117,0,1,0
21,9,19018,757,1,1,0,0,1,923,0.5,0,0,0,0,102,0,1,0
19,9,10165,169,0,0,0,0,0,331,0.349999994,0,0,0,0,179,0,1,0
22,5,14885,290,1,1,1,0,0,278,0.850000024,0,0,0,0,152,0,1,0
19,4,19957,530,1,1,1,0,0,1105,0.810000002,0,0,0,0,172,0,1,0
19,3,5021,199,1,1,1,0,1,579,0.920000017,0,0,0,0,122,0,1,0
20,5,36179,1484,1,1,1,0,1,330,0.310000002,0,0,0,0,194,0,1,0
22,4,1025,14,1,0,0,0,0,871,0.769999981,0,0,0,0,174,0,1,0
20,3,1024,28,1,0,0,0,0,853,0.850000024,0,0,0,0,215,0,1,0
20,3,19073,1120,1,1,0,0,0,512,0.850000024,0,0,0,0,54.90000153,0,1,0
20,30,17525,703,1,1,0,0,0,539,0.540000021,0,0,0,0,185,0,0,1
21,3,9889,719,0,1,0,0,0,94,0,0,0,0,0,76.80000305,0,1,1
25,19,10117,330,1,1,1,0,1,303,0.920000017,0,0,0,0,157,0,1,0
22,8,6840,335,0,1,0,0,0,528,0.879999995,0,0,0,0,7.300000191,0,1,0
22,7,6705,260,1,1,0,0,1,248,0.920000017,0,0,0,0,126,0,1,0
23,11,4009,80,1,1,1,0,1,988,0.810000002,0,0,0,0,145,0,0,0
23,19,42567,2108,1,0,0,0,0,94,0.620000005,0,0,0,0,178,0,1,0
21,13,7788,419,1,1,1,0,0,99,1,0,0,0,0,39.40000153,0,0,0
19,17,33453,1401,1,1,1,0,1,178,0.379999995,0,0,0,0,156,0,1,0
21,6,4847,197,1,1,0,1,0,1044,0.649999976,0,0,0,0,196,0,1,0
21,21,11286,455,1,1,1,0,0,587,0.649999976,0,0,0,0,145,0,1,0
23,3,15045,589,0,1,0,0,0,94,0.079999998,0,0,0,0,66.19999695,0,1,0
22,4,14460,426,1,1,1,0,1,2,0.310000002,0,0,0,0,144,0,0,1
21,15,6676,340,1,1,0,0,0,288,0.959999979,0,0,0,0,206,0,1,1
19,8,25862,1911,1,1,1,0,1,315,0.810000002,0,0,0,0,48,0,1,0
19,3,10162,372,1,0,0,0,0,518,1,0,0,0,0,99.09999847,0,1,0
22,5,2202,86,1,0,0,0,0,443,0.620000005,0,0,0,0,80.80000305,0,0,0
24,7,6728,391,1,1,0,0,1,351,0.959999979,0,0,0,0,0,0,1,1
20,13,5163,81,1,1,1,0,1,330,0.920000017,0,0,0,0,222,0,1,0
23,2,8732,306,1,1,0,0,0,72,0,0,0,0,0,136,0,1,1
21,6,4232,59,0,1,0,1,0,97,0.620000005,0,0,0,0,93.19999695,0,1,1
20,4,4175,72,0,0,1,0,1,842,0.850000024,0,0,0,0,81,0,1,0
19,9,12543,991,1,1,0,0,0,245,0.579999983,0,0,0,0,42,0,0,0
20,4,12113,476,1,1,0,0,0,486,0.310000002,0,0,0,0,156,0,0,1
24,2,584,22,1,1,0,0,0,369,0.879999995,0,0,0,0,60.59999847,0,0,0
23,7,8178,208,1,1,0,0,0,151,0.579999983,0,0,0,0,146,0,1,0
