age,name,counts_pictures,counts_profileVisits,counts_kisses,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,isVIP,isVerified,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,city,countDetails,crypt,flirtstar,freshman,hasBirthday,highlighted,distance,locked,mobile,online
24,Jasmin,10,10861,593,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Remagen,1,FALSE,FALSE,FALSE,FALSE,FALSE,453,FALSE,TRUE,TRUE
21,jessika,21,52465,3739,TRUE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Fribourg,0.270000011,FALSE,FALSE,FALSE,FALSE,FALSE,51.40000153,FALSE,TRUE,FALSE
24,lisa-roxanne,4,1076,20,TRUE,TRUE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Neuenburg am Rhein,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,160,FALSE,TRUE,FALSE
22,miiieze,8,19690,551,TRUE,FALSE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Bregenz,0.730000019,FALSE,FALSE,FALSE,FALSE,FALSE,258,FALSE,TRUE,TRUE
20,Julie,19,28293,1027,FALSE,FALSE,FALSE,FALSE,FALSE,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Basel,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,163,FALSE,TRUE,FALSE
24,Svetlana,17,43796,2750,TRUE,TRUE,TRUE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Emmenbrücke (Lucerna, Schweiz)",0,FALSE,FALSE,FALSE,FALSE,FALSE,139,FALSE,TRUE,FALSE
19,Lara,7,5101,158,TRUE,FALSE,FALSE,FALSE,FALSE,2,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Lenk im Simmental,1,FALSE,TRUE,FALSE,FALSE,TRUE,79.30000305,FALSE,TRUE,TRUE
20,Cindy,4,9850,241,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"Samstagern (Zurich, Schweiz)",0.349999994,FALSE,FALSE,FALSE,FALSE,FALSE,174,FALSE,TRUE,FALSE
19,swaga_,4,21224,316,TRUE,FALSE,FALSE,FALSE,TRUE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Kingston,0.230000004,FALSE,FALSE,FALSE,FALSE,FALSE,145,FALSE,TRUE,FALSE
19,Vanessa,9,4335,355,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Brig,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,106,FALSE,TRUE,FALSE
19,tamara,4,12754,644,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Fribourg,0.649999976,FALSE,FALSE,FALSE,FALSE,FALSE,50.40000153,FALSE,TRUE,FALSE
26,Ramona☆,4,3441,88,FALSE,FALSE,TRUE,FALSE,FALSE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Mühlhausen-Ehingen,0.850000024,FALSE,FALSE,FALSE,FALSE,FALSE,220,FALSE,TRUE,TRUE
19,_swissgiirl_,10,18731,644,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Lengnau,0.419999987,FALSE,FALSE,FALSE,FALSE,FALSE,92,FALSE,TRUE,FALSE
